parameter,low,target,high,minimum,average,maximum,unit,min time,max time
inspiratory tidal volume,"389,5",410,"430,5","404,189354813541","420,849024818212","433,981292041551",mL,00:02:40,00:02:01
peak flow,"71,25",75,"78,75","71,1786179669893","82,1049236693748","92,9864019462001",L/m,00:00:38,00:01:18
peak proximal pressure,19,20,21,"19,1461220833333","19,7184699749538","20,2020253611111",cmH2O,00:02:45,00:00:33
ie ratio,"0,2375","0,25","0,2625","0,272260273972603","0,325610837770664","0,356270810210877",,00:02:57,00:02:37
breath rate,"22,8",24,"25,2","20,1884253028264","23,8187005046366","24,7933884297521",bpm,00:02:57,00:02:23
high pressure,0,0,0,"-0,304876","0,00194812684444443","0,249444",psi,00:01:34,00:01:40
inspiratory time,"0,57","0,6","0,63","0,6","0,618655644444375","0,648",s,00:00:43,00:00:18
expiratory time,"1,805","1,9","1,995","1,802","1,90751875555578","2,342",s,00:02:37,00:02:59
peep,"13,3",14,"14,7","13,2592723055556","13,8741813174491","14,48149925",cmH2O,00:02:45,00:00:33
minute volume,"8,645","9,1","9,555","8,46897851135084","10,0418487712981","11,4977190576318",L,00:02:48,00:02:01
